"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"4/8/2026 11 p.m. CDT",51759,49556,51325,-433
ERCO,"4/9/2026 12 a.m. CDT",48719,46797,48379,-339
ERCO,"4/9/2026 1 a.m. CDT",46181,44715,45913,-267
ERCO,"4/9/2026 2 a.m. CDT",44371,43040,44089,-281
ERCO,"4/9/2026 3 a.m. CDT",43191,41999,42989,-203
ERCO,"4/9/2026 4 a.m. CDT",42597,41524,42264,-332
ERCO,"4/9/2026 5 a.m. CDT",42892,41888,42554,-338
ERCO,"4/9/2026 6 a.m. CDT",44518,43754,44237,-280
ERCO,"4/9/2026 7 a.m. CDT",47261,46495,47040,-220
ERCO,"4/9/2026 8 a.m. CDT",48361,47843,48211,-149
ERCO,"4/9/2026 9 a.m. CDT",49009,48540,49079,70
ERCO,"4/9/2026 10 a.m. CDT",49804,49797,49550,-255
ERCO,"4/9/2026 11 a.m. CDT",51130,51055,51033,-97
ERCO,"4/9/2026 12 p.m. CDT",52414,52313,52280,-133
ERCO,"4/9/2026 1 p.m. CDT",53767,53649,53478,-289
ERCO,"4/9/2026 2 p.m. CDT",55393,55262,55149,-244
ERCO,"4/9/2026 3 p.m. CDT",56615,56795,56434,-181
ERCO,"4/9/2026 4 p.m. CDT",57900,58211,57647,-252
ERCO,"4/9/2026 5 p.m. CDT",58881,59307,58659,-221
ERCO,"4/9/2026 6 p.m. CDT",58804,59428,58476,-327
ERCO,"4/9/2026 7 p.m. CDT",57554,58499,56984,-569
ERCO,"4/9/2026 8 p.m. CDT",56052,56978,55366,-685
ERCO,"4/9/2026 9 p.m. CDT",55333,56617,54523,-810
ERCO,"4/9/2026 10 p.m. CDT",54307,55172,53492,-814
ERCO,"4/9/2026 11 p.m. CDT",51816,52540,51011,-805
ERCO,"4/10/2026 12 a.m. CDT",49416,49440,48614,-802
ERCO,"4/10/2026 1 a.m. CDT",47307,46449,46606,-701
ERCO,"4/10/2026 2 a.m. CDT",45615,44658,45046,-569
ERCO,"4/10/2026 3 a.m. CDT",44539,43490,44143,-395
ERCO,"4/10/2026 4 a.m. CDT",44033,42814,43692,-341
ERCO,"4/10/2026 5 a.m. CDT",44305,43010,44067,-237
ERCO,"4/10/2026 6 a.m. CDT",45622,44490,45594,-27
ERCO,"4/10/2026 7 a.m. CDT",47993,47060,47909,-84
ERCO,"4/10/2026 8 a.m. CDT",49127,48552,48880,-247
ERCO,"4/10/2026 9 a.m. CDT",49861,49588,49640,-221
ERCO,"4/10/2026 10 a.m. CDT",51162,50949,51037,-124
ERCO,"4/10/2026 11 a.m. CDT",52595,52345,52844,248
ERCO,"4/10/2026 12 p.m. CDT",53825,53505,54103,277
ERCO,"4/10/2026 1 p.m. CDT",55047,54597,55473,426
ERCO,"4/10/2026 2 p.m. CDT",56460,55815,56810,349
ERCO,"4/10/2026 3 p.m. CDT",57726,56713,57949,223
ERCO,"4/10/2026 4 p.m. CDT",58521,57309,58643,121
ERCO,"4/10/2026 5 p.m. CDT",58873,57635,58633,-241
ERCO,"4/10/2026 6 p.m. CDT",59050,57580,58515,-536
ERCO,"4/10/2026 7 p.m. CDT",58323,56456,57658,-665
ERCO,"4/10/2026 8 p.m. CDT",56943,54817,56348,-595
ERCO,"4/10/2026 9 p.m. CDT",56677,54172,56082,-595
ERCO,"4/10/2026 10 p.m. CDT",55517,53082,54964,-552
ERCO,"4/10/2026 11 p.m. CDT",53343,51786,53274,-69
ERCO,"4/11/2026 12 a.m. CDT",50904,49462,50753,-151
ERCO,"4/11/2026 1 a.m. CDT",48586,48021,48283,-302
ERCO,"4/11/2026 2 a.m. CDT",46749,45901,46314,-435
ERCO,"4/11/2026 3 a.m. CDT",45176,44370,44605,-571
ERCO,"4/11/2026 4 a.m. CDT",44231,43344,43670,-561
ERCO,"4/11/2026 5 a.m. CDT",44041,42965,43274,-766
ERCO,"4/11/2026 6 a.m. CDT",44437,43278,43627,-811
ERCO,"4/11/2026 7 a.m. CDT",45353,44190,44679,-673
ERCO,"4/11/2026 8 a.m. CDT",46001,44828,45382,-618
ERCO,"4/11/2026 9 a.m. CDT",47575,46775,47197,-378
ERCO,"4/11/2026 10 a.m. CDT",49753,49363,49501,-251
ERCO,"4/11/2026 11 a.m. CDT",51874,51562,51834,-39
ERCO,"4/11/2026 12 p.m. CDT",53523,53086,53453,-70
ERCO,"4/11/2026 1 p.m. CDT",54741,54556,54523,-218
ERCO,"4/11/2026 2 p.m. CDT",55637,55794,55560,-77
ERCO,"4/11/2026 3 p.m. CDT",56431,56897,56181,-250
ERCO,"4/11/2026 4 p.m. CDT",57039,57914,56819,-219
